epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,12.2141,0.67032,1.12029,1.10592,0.87003,1,0.995,0.92029,0.43111,2.28233,1.09899,0.00019436,0.00019436,0.00019436
45,12.5168,0.73581,1.54886,1.29977,0.89077,1,0.995,0.92029,0.42512,2.25838,1.10689,0.00018304,0.00018304,0.00018304
46,15.4505,0.49499,2.04898,1.05158,0.89077,1,0.995,0.92029,0.42512,2.25838,1.10689,0.000171,0.000171,0.000171
47,15.7415,0.44659,1.61709,1.25955,0.88741,1,0.995,0.8955,0.45696,2.2804,1.11387,0.00015824,0.00015824,0.00015824
48,15.9723,0.29256,1.32858,0.88277,0.88741,1,0.995,0.8955,0.45696,2.2804,1.11387,0.00014476,0.00014476,0.00014476
49,16.2073,1.11242,1.94623,1.72794,0.93487,1,0.995,0.8955,0.4831,2.3091,1.11869,0.00013056,0.00013056,0.00013056
50,16.4264,0.32272,1.14146,0.85986,0.93487,1,0.995,0.8955,0.4831,2.3091,1.11869,0.00011564,0.00011564,0.00011564
51,16.6583,0.28892,1.3659,0.84934,1,0.97421,0.995,0.8955,0.47982,2.38077,1.10645,0.0001,0.0001,0.0001
52,16.8763,0.36746,1.59638,1.1915,1,0.97421,0.995,0.8955,0.47982,2.38077,1.10645,8.364e-05,8.364e-05,8.364e-05
53,17.0903,0.2395,1.38279,0.83488,1,0.97421,0.995,0.8955,0.47982,2.38077,1.10645,6.656e-05,6.656e-05,6.656e-05
54,17.3197,0.28143,1.27789,0.94368,1,0.9697,0.995,0.8955,0.47859,2.39951,1.09718,4.876e-05,4.876e-05,4.876e-05
55,17.6052,0.3925,1.16561,0.70815,1,0.9697,0.995,0.8955,0.47859,2.39951,1.09718,3.024e-05,3.024e-05,3.024e-05
