epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17638,0.8062,2.60339,1.23146,0.00333,1,0.0854,0.03472,0.93948,2.66084,1.52046,2e-05,2e-05,2e-05
2,1.46523,0.87639,2.56834,1.2674,0.00333,1,0.087,0.03577,0.93811,2.66991,1.52373,5.892e-05,5.892e-05,5.892e-05
3,1.74899,0.83745,2.61746,1.32152,0.00333,1,0.22,0.08684,1.00728,2.65958,1.59445,9.64e-05,9.64e-05,9.64e-05
4,2.07962,0.89469,2.47696,1.38577,0.00333,1,0.8719,0.57959,0.77714,2.58817,1.35367,0.00013244,0.00013244,0.00013244
5,2.41197,0.87444,2.07165,1.28302,0.00333,1,0.935,0.76731,0.59188,2.50144,1.09094,0.00016704,0.00016704,0.00016704
6,2.73552,0.83232,1.47711,1.22543,0.00333,1,0.995,0.84275,0.54805,2.395,1.02793,0.0002002,0.0002002,0.0002002
7,3.06645,0.63154,1.26869,1.13283,0.00333,1,0.995,0.73597,0.56954,2.30489,1.03314,0.00023192,0.00023192,0.00023192
8,3.39654,0.67736,1.05112,1.07288,0.00333,1,0.995,0.85976,0.57576,2.22294,1.05308,0.0002622,0.0002622,0.0002622
9,3.71701,0.67627,0.92329,1.13855,0.00333,1,0.995,0.8645,0.56294,2.24766,1.04865,0.00029104,0.00029104,0.00029104
10,4.03712,0.65694,0.96894,1.11539,0.00333,1,0.995,0.84471,0.57832,2.23413,1.06144,0.00031844,0.00031844,0.00031844
11,4.35502,0.67613,0.9928,1.06176,0.00427,1,0.995,0.85946,0.55914,2.18211,1.04527,0.0003444,0.0003444,0.0003444
12,4.67302,0.51994,0.97774,1.06307,0.99844,1,0.995,0.87221,0.54744,2.0559,1.05546,0.00036892,0.00036892,0.00036892
13,4.98707,0.50255,0.81675,1.00186,1,0.78591,0.995,0.89145,0.51637,2.05544,1.02931,0.000392,0.000392,0.000392
14,5.30721,0.62948,0.81043,1.05139,0.98521,1,0.995,0.90029,0.53794,2.0953,1.04417,0.00041364,0.00041364,0.00041364
15,5.63479,0.63679,0.89216,1.11416,1,0.91601,0.995,0.82878,0.74364,2.08136,1.27044,0.00043384,0.00043384,0.00043384
16,5.95267,0.67051,0.85608,1.11513,0.98421,1,0.995,0.83237,0.74574,1.93229,1.25714,0.0004526,0.0004526,0.0004526
17,6.26825,0.54772,0.87366,1.01891,0.98646,1,0.995,0.75473,0.85213,1.78926,1.39754,0.00046992,0.00046992,0.00046992
18,6.59018,0.56946,0.88479,1.0259,0.98037,1,0.995,0.75339,0.87603,1.85101,1.39842,0.0004858,0.0004858,0.0004858
19,6.91368,0.67476,0.84482,1.06284,0.99467,1,0.995,0.76281,0.8478,2.01244,1.37654,0.00050024,0.00050024,0.00050024
20,7.23464,0.53812,0.84904,1.03279,0.98354,1,0.995,0.83954,0.64787,1.94656,1.16298,0.00051324,0.00051324,0.00051324
21,7.55014,0.65427,0.87568,1.09472,0.9659,1,0.995,0.87271,0.55698,1.67409,1.06172,0.0005248,0.0005248,0.0005248
22,7.86745,0.60052,0.89768,1.05408,0.97222,1,0.995,0.86574,0.60264,1.43127,1.12318,0.00053492,0.00053492,0.00053492
23,8.19369,0.55653,0.77435,1.00241,0.99052,1,0.995,0.81119,0.84087,1.25564,1.55317,0.0005436,0.0005436,0.0005436
24,8.51168,0.56856,0.77282,0.96191,0.99104,1,0.995,0.72971,1.03177,1.22501,2.09362,0.00055084,0.00055084,0.00055084
25,8.8312,0.55699,0.85167,1.0797,0.99261,1,0.995,0.74886,0.96814,1.10837,1.89209,0.00055664,0.00055664,0.00055664
26,9.14542,0.6174,0.77657,1.07089,0.99458,1,0.995,0.81436,0.77023,1.05756,1.39476,0.000561,0.000561,0.000561
27,9.46621,0.52698,0.77132,0.97585,0.99448,1,0.995,0.83384,0.77435,1.07089,1.38312,0.00056392,0.00056392,0.00056392
28,9.76397,0.50994,0.7529,1.02802,0.99448,1,0.995,0.83384,0.77435,1.07089,1.38312,0.0005654,0.0005654,0.0005654
29,10.0786,0.62049,0.8098,1.11035,0.99249,1,0.995,0.77077,0.87691,1.14781,1.52979,0.00056544,0.00056544,0.00056544
30,10.3928,0.6063,0.78331,1.06571,0.99331,1,0.995,0.72314,1.06714,1.19999,2.01041,0.00056404,0.00056404,0.00056404
31,10.6945,0.61475,0.83099,1.05417,0.99331,1,0.995,0.72314,1.06714,1.19999,2.01041,0.0005612,0.0005612,0.0005612
32,11.0185,0.5702,0.69633,0.99567,0.99248,1,0.995,0.6961,1.18082,1.18631,2.30762,0.00055692,0.00055692,0.00055692
33,11.3318,0.75044,0.74981,1.16174,0.9923,1,0.995,0.68403,1.15992,1.18181,2.18657,0.0005512,0.0005512,0.0005512
34,11.6339,0.57774,0.7772,1.02023,0.9923,1,0.995,0.68403,1.15992,1.18181,2.18657,0.00054404,0.00054404,0.00054404
35,11.9485,0.58192,0.78247,0.99375,0.99156,1,0.995,0.72803,0.9398,1.25113,1.59321,0.00053544,0.00053544,0.00053544
36,12.257,0.57598,0.75865,1.11206,0.98851,1,0.995,0.78353,0.79116,1.26288,1.36937,0.0005254,0.0005254,0.0005254
37,12.5565,0.54255,0.70328,1.0161,0.98851,1,0.995,0.78353,0.79116,1.26288,1.36937,0.00051392,0.00051392,0.00051392
38,12.8717,0.54115,0.70044,0.98926,0.98826,1,0.995,0.77861,0.80179,1.22876,1.37284,0.000501,0.000501,0.000501
39,13.1815,0.44809,0.66687,0.98095,0.98639,1,0.995,0.8038,0.70136,1.20702,1.25099,0.00048664,0.00048664,0.00048664
40,13.4824,0.52166,0.69257,0.98052,0.98639,1,0.995,0.8038,0.70136,1.20702,1.25099,0.00047084,0.00047084,0.00047084
41,13.7984,0.50172,0.67245,0.98426,0.99213,1,0.995,0.8021,0.69294,1.01303,1.2422,0.0004536,0.0004536,0.0004536
42,14.1164,0.60207,0.68303,1.08966,0.9954,1,0.995,0.80624,0.72697,0.85605,1.2826,0.00043492,0.00043492,0.00043492
43,14.4188,0.5856,0.68497,1.04267,0.9954,1,0.995,0.80624,0.72697,0.85605,1.2826,0.0004148,0.0004148,0.0004148
44,14.7243,0.48979,0.63847,0.96886,0.99555,1,0.995,0.80003,0.74348,0.82866,1.31852,0.00039324,0.00039324,0.00039324
45,15.0148,0.49197,0.66121,0.98582,0.99555,1,0.995,0.80003,0.74348,0.82866,1.31852,0.00037024,0.00037024,0.00037024
46,31.7196,0.4683,1.34764,1.00373,0.99577,1,0.995,0.77307,0.84502,0.84619,1.48232,0.0003458,0.0003458,0.0003458
47,32.0578,0.46142,1.17947,0.93466,0.99577,1,0.995,0.77307,0.84502,0.84619,1.48232,0.00031992,0.00031992,0.00031992
48,32.3704,0.51065,1.21648,1.02659,0.99584,1,0.995,0.77383,0.84536,0.86624,1.48119,0.0002926,0.0002926,0.0002926
49,32.6696,0.39787,1.09368,0.95892,0.99584,1,0.995,0.77383,0.84536,0.86624,1.48119,0.00026384,0.00026384,0.00026384
50,32.9737,0.40601,1.03005,0.91536,0.99502,1,0.995,0.78225,0.8337,0.89838,1.46063,0.00023364,0.00023364,0.00023364
51,33.2663,0.51104,1.0333,1.00612,0.99502,1,0.995,0.78225,0.8337,0.89838,1.46063,0.0002,0.0002,0.0002
52,33.5697,0.366,1.02176,0.94367,0.99495,1,0.995,0.78194,0.83175,0.88217,1.45461,0.000164,0.000164,0.000164
53,33.8605,0.45093,1.06454,0.94009,0.99495,1,0.995,0.78194,0.83175,0.88217,1.45461,0.000128,0.000128,0.000128
54,34.1607,0.47142,1.05979,1.0299,0.99519,1,0.995,0.76149,0.82374,0.84225,1.43639,9.2e-05,9.2e-05,9.2e-05
55,34.4476,0.38042,0.99994,0.95046,0.99519,1,0.995,0.76149,0.82374,0.84225,1.43639,5.6e-05,5.6e-05,5.6e-05
