epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63117,1.25257,2.14141,1.40268,0.97631,0.32704,0.65641,0.48838,0.93631,2.30841,1.11488,0.000545182,0.000545182,0.000545182
2,11.7286,1.18897,1.50985,1.30353,0.78579,0.65344,0.76874,0.52936,0.98625,1.25021,1.2246,0.00104636,0.00104636,0.00104636
3,16.7784,1.17931,1.38771,1.31334,0.7033,0.70106,0.77614,0.527,1.09512,1.44606,1.31913,0.00149252,0.00149252,0.00149252
4,21.7764,1.14317,1.25538,1.29126,0.54765,0.59259,0.55,0.27395,1.50967,1.66743,1.61879,0.00141945,0.00141945,0.00141945
5,26.6522,1.13209,1.14516,1.29299,0.84046,0.62714,0.78242,0.56606,0.96058,1.09989,1.19224,0.00133693,0.00133693,0.00133693
6,31.5257,1.08523,1.07756,1.2473,0.9147,0.70635,0.84277,0.60533,0.96637,0.84785,1.17917,0.00125442,0.00125442,0.00125442
7,36.4155,1.08765,1.03222,1.26562,0.92178,0.65466,0.83796,0.63095,0.90121,0.7751,1.12231,0.0011719,0.0011719,0.0011719
8,41.2799,1.08194,1.01125,1.26957,0.92294,0.6654,0.84244,0.62267,0.89588,0.83862,1.12129,0.00108938,0.00108938,0.00108938
9,46.1537,1.07264,0.95206,1.24428,0.92174,0.68551,0.85685,0.6414,0.87708,0.72556,1.10357,0.00100687,0.00100687,0.00100687
10,51.0201,1.07803,0.96327,1.23739,0.91021,0.69729,0.84616,0.64173,0.85706,0.74716,1.08669,0.000924352,0.000924352,0.000924352
11,74.7777,0.86055,0.82706,1.11821,0.90781,0.72944,0.87762,0.65123,0.86561,0.76819,1.10342,0.000841835,0.000841835,0.000841835
12,79.7929,0.86514,0.77444,1.10208,0.93346,0.71958,0.87792,0.66213,0.82463,0.668,1.08085,0.000759318,0.000759318,0.000759318
13,84.6672,0.83964,0.72742,1.10093,0.80915,0.78042,0.8776,0.6694,0.81369,0.64832,1.07059,0.000676802,0.000676802,0.000676802
14,89.5608,0.81721,0.70997,1.08335,0.88614,0.74124,0.87064,0.65202,0.83346,0.71678,1.08526,0.000594286,0.000594286,0.000594286
15,94.4494,0.80166,0.68191,1.06896,0.92177,0.7381,0.88701,0.68278,0.77791,0.6062,1.04962,0.000511769,0.000511769,0.000511769
16,99.3433,0.77757,0.6378,1.06393,0.91269,0.71905,0.8833,0.68399,0.78178,0.62152,1.04353,0.000429253,0.000429253,0.000429253
17,104.24,0.76487,0.62659,1.04716,0.88992,0.74857,0.88572,0.68728,0.76336,0.58389,1.03853,0.000346736,0.000346736,0.000346736
18,109.153,0.7449,0.60996,1.03566,0.85701,0.77694,0.8859,0.68968,0.76321,0.57305,1.0347,0.00026422,0.00026422,0.00026422
19,114.034,0.72906,0.58518,1.02928,0.83651,0.78508,0.88476,0.68659,0.75962,0.56652,1.0334,0.000181703,0.000181703,0.000181703
20,118.877,0.7314,0.58056,1.02974,0.86779,0.76401,0.88992,0.69843,0.7392,0.54989,1.02183,9.91865e-05,9.91865e-05,9.91865e-05
