epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35659,1.25257,2.14141,1.40268,0.97631,0.32704,0.65641,0.48838,0.93631,2.30841,1.11488,0.000545182,0.000545182,0.000545182
2,11.4942,1.20611,1.50928,1.31288,0.71908,0.60946,0.68876,0.46615,1.06029,1.37835,1.27162,0.00108103,0.00108103,0.00108103
3,16.45,1.21616,1.40137,1.34267,0.81904,0.63757,0.76246,0.53005,1.05746,1.47673,1.33405,0.00159688,0.00159688,0.00159688
4,21.3883,1.18464,1.27264,1.30625,0.62651,0.65873,0.64862,0.41191,1.1492,1.43395,1.30158,0.00157698,0.00157698,0.00157698
5,26.3683,1.17281,1.17796,1.32397,0.86272,0.68163,0.80514,0.58063,1.00271,0.95976,1.21853,0.00154698,0.00154698,0.00154698
6,31.217,1.10431,1.07544,1.27173,0.8887,0.69312,0.84385,0.60284,1.00677,0.92124,1.21456,0.00151697,0.00151697,0.00151697
7,36.0688,1.12074,1.03578,1.27802,0.82654,0.7037,0.82763,0.61196,0.92148,0.79778,1.14677,0.00148696,0.00148696,0.00148696
8,41.2035,1.10654,1.03459,1.27924,0.93804,0.66931,0.84267,0.57539,1.03507,0.93091,1.20405,0.00145696,0.00145696,0.00145696
9,46.6438,1.09465,0.97433,1.25551,0.91718,0.65079,0.83283,0.58745,0.98902,0.80853,1.17575,0.00142695,0.00142695,0.00142695
10,52.5128,1.11828,0.99313,1.2635,0.88593,0.69856,0.85985,0.63165,0.91396,0.74186,1.14411,0.00139695,0.00139695,0.00139695
11,58.224,1.05744,0.9327,1.23496,0.9394,0.66667,0.81494,0.63071,0.86298,0.75911,1.107,0.00136694,0.00136694,0.00136694
12,63.68,1.04698,0.90309,1.23134,0.85044,0.70703,0.84546,0.6292,0.90674,0.77229,1.14906,0.00133693,0.00133693,0.00133693
13,69.0364,1.03419,0.85864,1.21691,0.7968,0.78571,0.86883,0.65034,0.87271,0.7756,1.11188,0.00130693,0.00130693,0.00130693
14,74.3135,1.01132,0.85965,1.20109,0.83875,0.7672,0.86523,0.6684,0.81792,0.69558,1.08225,0.00127692,0.00127692,0.00127692
15,79.6726,1.04057,0.87766,1.22054,0.88018,0.72222,0.84994,0.64444,0.87435,0.69117,1.1109,0.00124692,0.00124692,0.00124692
16,84.9536,0.99984,0.82917,1.19433,0.88046,0.72222,0.85688,0.65569,0.83784,0.68486,1.09153,0.00121691,0.00121691,0.00121691
17,90.2155,0.97344,0.81575,1.18974,0.96891,0.66138,0.86165,0.65433,0.85493,0.68054,1.08796,0.0011869,0.0011869,0.0011869
18,95.5423,1.02403,0.83745,1.20559,0.97478,0.64021,0.82498,0.6417,0.84773,0.74018,1.09316,0.0011569,0.0011569,0.0011569
19,101.031,1.00191,0.81361,1.19589,0.92655,0.70899,0.87696,0.67601,0.82409,0.6328,1.09631,0.00112689,0.00112689,0.00112689
20,105.924,0.97443,0.78066,1.19269,0.85022,0.7672,0.89022,0.67464,0.84571,0.62889,1.09334,0.00109689,0.00109689,0.00109689
21,110.913,0.99796,0.80387,1.19598,0.92111,0.71043,0.85942,0.66033,0.81378,0.65161,1.07164,0.00106688,0.00106688,0.00106688
22,115.906,0.96071,0.78482,1.17235,0.89791,0.72487,0.87671,0.67791,0.80046,0.61882,1.05991,0.00103687,0.00103687,0.00103687
23,121.142,0.97744,0.77257,1.18439,0.88392,0.72487,0.86635,0.65954,0.84586,0.66983,1.09706,0.00100687,0.00100687,0.00100687
24,126.34,0.97146,0.80438,1.17785,0.92605,0.71164,0.87622,0.66263,0.82879,0.6088,1.08428,0.000976862,0.000976862,0.000976862
25,131.663,0.96902,0.7808,1.18843,0.95081,0.69841,0.86917,0.6596,0.86836,0.66943,1.10132,0.000946856,0.000946856,0.000946856
26,136.978,0.93133,0.75708,1.15547,0.85043,0.74868,0.87661,0.67556,0.79357,0.60538,1.06397,0.00091685,0.00091685,0.00091685
27,142.5,0.9467,0.74421,1.17167,0.87786,0.7328,0.86928,0.66712,0.80768,0.62154,1.07751,0.000886844,0.000886844,0.000886844
28,147.789,0.94162,0.73979,1.17406,0.87158,0.75926,0.88836,0.67536,0.80878,0.59627,1.06703,0.000856838,0.000856838,0.000856838
29,152.9,0.95022,0.76571,1.17279,0.91481,0.70106,0.87781,0.68054,0.78678,0.6288,1.05111,0.000826832,0.000826832,0.000826832
30,158.271,0.92694,0.72853,1.1595,0.87447,0.75561,0.88598,0.68101,0.78688,0.61004,1.05241,0.000796826,0.000796826,0.000796826
31,163.429,0.95346,0.74396,1.15195,0.8362,0.7968,0.87661,0.6769,0.79601,0.59342,1.0604,0.00076682,0.00076682,0.00076682
32,168.439,0.90102,0.72895,1.16017,0.93937,0.70899,0.87609,0.68117,0.77331,0.57937,1.05074,0.000736814,0.000736814,0.000736814
