epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25048,0.70473,2.54315,1.33608,0.00333,1,0.18091,0.15184,0.59812,2.97882,1.5143,0,0,0
2,2.65067,1.13583,3.12604,1.63679,0.00333,1,0.18091,0.15184,0.58998,2.96198,1.52068,1.901e-05,1.901e-05,1.901e-05
3,2.86395,1.02822,3.23177,1.3736,0.00333,1,0.199,0.16631,0.59128,2.97848,1.52489,3.604e-05,3.604e-05,3.604e-05
4,3.14371,0.87546,2.57071,1.35338,0.00333,1,0.4475,0.38279,0.61778,2.94118,1.46665,5.109e-05,5.109e-05,5.109e-05
5,3.40383,0.80625,2.43205,1.30816,0.00333,1,0.995,0.84554,0.56568,2.96752,1.39456,6.416e-05,6.416e-05,6.416e-05
6,3.67775,0.61293,2.34903,1.13407,0.00333,1,0.995,0.8955,0.44173,2.96403,1.273,7.525e-05,7.525e-05,7.525e-05
7,3.94422,0.75299,3.02239,1.4923,0.00333,1,0.995,0.82079,0.43829,2.95689,1.27245,8.436e-05,8.436e-05,8.436e-05
8,4.20902,0.67647,2.61953,1.19917,0.00333,1,0.995,0.82079,0.41605,2.94152,1.21754,9.149e-05,9.149e-05,9.149e-05
9,4.45853,0.60383,2.23684,1.27436,0.00333,1,0.995,0.8955,0.34654,2.87432,1.08694,9.664e-05,9.664e-05,9.664e-05
10,4.70949,0.89475,2.94956,1.48076,0.00333,1,0.995,0.8955,0.30933,2.83866,1.04069,9.981e-05,9.981e-05,9.981e-05
11,8.02454,0.44305,2.4572,1.0912,0.00333,1,0.995,0.8955,0.29824,2.84906,1.05455,0.000101,0.000101,0.000101
12,8.33859,0.81344,2.65814,1.40877,0.00333,1,0.995,0.8955,0.29076,2.85202,1.05402,0.00010021,0.00010021,0.00010021
13,8.59804,0.66148,2.6083,1.1518,0.00333,1,0.995,0.79559,0.28802,2.83015,1.03207,9.744e-05,9.744e-05,9.744e-05
14,8.84373,0.93913,2.85459,1.69751,0.00333,1,0.995,0.84513,0.3101,2.80364,1.0673,9.269e-05,9.269e-05,9.269e-05
15,9.08291,0.31916,2.41649,1.17385,0.00333,1,0.995,0.71613,0.31714,2.79413,1.08118,8.596e-05,8.596e-05,8.596e-05
16,9.3131,0.35907,1.97907,1.03293,0.00333,1,0.995,0.64142,0.37658,2.79775,1.08476,7.725e-05,7.725e-05,7.725e-05
17,9.54676,0.34389,1.62139,0.89624,0.00333,1,0.995,0.57179,0.39545,2.80146,1.14663,6.656e-05,6.656e-05,6.656e-05
18,9.75993,0.37353,1.56307,1.1069,0.00333,1,0.995,0.57179,0.39545,2.80146,1.14663,5.389e-05,5.389e-05,5.389e-05
19,9.99809,0.34564,1.70092,1.13523,0.00333,1,0.995,0.53303,0.39799,2.80205,1.10211,3.924e-05,3.924e-05,3.924e-05
20,10.2148,0.55134,2.1963,1.27427,0.00333,1,0.995,0.53303,0.39799,2.80205,1.10211,2.261e-05,2.261e-05,2.261e-05
