epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.633,1.23689,3.14618,1.37002,0.50583,0.55927,0.51451,0.3093,1.35514,2.39569,1.36285,0.000472882,0.000472882,0.000472882
2,28.9976,1.29232,2.37556,1.36098,0.52487,0.47401,0.46385,0.28481,1.3972,2.40304,1.42646,0.000932129,0.000932129,0.000932129
3,42.1118,1.31563,2.00606,1.36826,0.60041,0.48676,0.51698,0.31698,1.45658,2.52325,1.45914,0.00137423,0.00137423,0.00137423
4,54.9205,1.32525,1.74088,1.39126,0.50669,0.54132,0.52054,0.33389,1.35167,2.04174,1.38706,0.00135183,0.00135183,0.00135183
5,67.9431,1.24712,1.57552,1.32388,0.71427,0.6823,0.70751,0.4662,1.28345,1.49447,1.3165,0.00132611,0.00132611,0.00132611
6,80.5081,1.25613,1.44905,1.31229,0.66311,0.70057,0.68834,0.4743,1.21763,1.46255,1.30042,0.00130039,0.00130039,0.00130039
7,93.1341,1.19005,1.32977,1.28673,0.72252,0.70465,0.74558,0.53611,1.15386,1.38296,1.26901,0.00127467,0.00127467,0.00127467
8,105.946,1.13748,1.25341,1.25715,0.77782,0.70634,0.77548,0.53227,1.21796,1.29995,1.30397,0.00124895,0.00124895,0.00124895
9,118.838,1.12711,1.20352,1.24536,0.80962,0.70256,0.81036,0.55992,1.18876,1.32705,1.27074,0.00122322,0.00122322,0.00122322
10,131.434,1.1217,1.15163,1.24696,0.84244,0.83468,0.87178,0.63329,1.10038,1.01035,1.23034,0.0011975,0.0011975,0.0011975
11,143.926,1.09733,1.13774,1.23364,0.78228,0.79687,0.83799,0.59005,1.1183,1.09481,1.22295,0.00117178,0.00117178,0.00117178
12,156.427,1.07895,1.09075,1.21887,0.90378,0.80448,0.88857,0.64386,1.081,1.01393,1.19468,0.00114606,0.00114606,0.00114606
13,168.842,1.05839,1.04071,1.21378,0.90407,0.79056,0.88525,0.64478,1.07331,0.91585,1.20576,0.00112034,0.00112034,0.00112034
14,181.074,1.0337,0.98113,1.18818,0.87292,0.85965,0.88943,0.66519,0.99364,0.89764,1.14417,0.00109461,0.00109461,0.00109461
15,192.704,1.03222,0.99342,1.21149,0.85044,0.8477,0.87511,0.654,1.01726,0.91264,1.16319,0.00106889,0.00106889,0.00106889
